crop_name,land_type,season,yield,cost,price_min,price_max
黄豆,平旱地,单季,400.0,400.0,2.5,4.0
黑豆,平旱地,单季,500.0,400.0,6.5,8.5
红豆,平旱地,单季,400.0,350.0,7.5,9.0
绿豆,平旱地,单季,350.0,350.0,6.0,8.0
爬豆,平旱地,单季,415.0,350.0,6.0,7.5
小麦,平旱地,单季,800.0,450.0,3.0,4.0
玉米,平旱地,单季,1000.0,500.0,2.5,3.5
谷子,平旱地,单季,400.0,360.0,6.0,7.5
高粱,平旱地,单季,630.0,400.0,5.5,6.5
黍子,平旱地,单季,525.0,360.0,6.5,8.5
荞麦,平旱地,单季,110.0,350.0,30.0,50.0
南瓜,平旱地,单季,3000.0,1000.0,1.0,2.0
红薯,平旱地,单季,2200.0,2000.0,2.5,4.0
莜麦,平旱地,单季,420.0,400.0,5.0,6.0
大麦,平旱地,单季,525.0,350.0,3.0,4.0
黄豆,梯田,单季,380.0,400.0,2.5,4.0
黑豆,梯田,单季,475.0,400.0,6.5,8.5
红豆,梯田,单季,380.0,350.0,7.5,9.0
绿豆,梯田,单季,330.0,350.0,6.0,8.0
爬豆,梯田,单季,395.0,350.0,6.0,7.5
小麦,梯田,单季,760.0,450.0,3.0,4.0
玉米,梯田,单季,950.0,500.0,2.5,3.5
谷子,梯田,单季,380.0,360.0,6.0,7.5
高粱,梯田,单季,600.0,400.0,5.5,6.5
黍子,梯田,单季,500.0,360.0,6.5,8.5
荞麦,梯田,单季,105.0,350.0,30.0,50.0
南瓜,梯田,单季,2850.0,1000.0,1.0,2.0
红薯,梯田,单季,2100.0,2000.0,2.5,4.0
莜麦,梯田,单季,400.0,400.0,5.0,6.0
大麦,梯田,单季,500.0,350.0,3.0,4.0
黄豆,山坡地,单季,360.0,400.0,2.5,4.0
黑豆,山坡地,单季,450.0,400.0,6.5,8.5
红豆,山坡地,单季,360.0,350.0,7.5,9.0
绿豆,山坡地,单季,315.0,350.0,6.0,8.0
爬豆,山坡地,单季,375.0,350.0,6.0,7.5
小麦,山坡地,单季,720.0,450.0,3.0,4.0
玉米,山坡地,单季,900.0,500.0,2.5,3.5
谷子,山坡地,单季,360.0,360.0,6.0,7.5
高粱,山坡地,单季,570.0,400.0,5.5,6.5
黍子,山坡地,单季,475.0,360.0,6.5,8.5
荞麦,山坡地,单季,100.0,350.0,30.0,50.0
南瓜,山坡地,单季,2700.0,1000.0,1.0,2.0
红薯,山坡地,单季,2000.0,2000.0,2.5,4.0
莜麦,山坡地,单季,380.0,400.0,5.0,6.0
大麦,山坡地,单季,475.0,350.0,3.0,4.0
水稻,水浇地,单季,500.0,680.0,6.0,8.0
豇豆,水浇地,第一季,3000.0,2000.0,7.0,9.0
刀豆,水浇地,第一季,2000.0,1000.0,5.5,8.0
芸豆,水浇地,第一季,3000.0,2000.0,5.0,8.0
土豆,水浇地,第一季,2000.0,2000.0,3.0,4.5
西红柿,水浇地,第一季,2400.0,2000.0,5.0,7.5
茄子,水浇地,第一季,6400.0,2000.0,5.0,6.0
菠菜,水浇地,第一季,2700.0,2300.0,4.8,6.7
青椒,水浇地,第一季,2400.0,1600.0,4.0,6.5
菜花,水浇地,第一季,3300.0,2400.0,5.0,6.0
包菜,水浇地,第一季,3700.0,2900.0,5.5,7.5
油麦菜,水浇地,第一季,4100.0,1600.0,4.0,6.0
小青菜,水浇地,第一季,3200.0,1600.0,5.0,6.5
黄瓜,水浇地,第一季,12000.0,2900.0,6.0,8.0
生菜,水浇地,第一季,4100.0,1600.0,4.5,6.0
辣椒,水浇地,第一季,1600.0,1000.0,6.0,8.5
空心菜,水浇地,第一季,10000.0,4100.0,3.0,6.0
黄心菜,水浇地,第一季,5000.0,2000.0,4.0,5.0
芹菜,水浇地,第一季,5500.0,900.0,3.2,4.8
豇豆,普通大棚,第一季,3600.0,2400.0,7.0,9.0
刀豆,普通大棚,第一季,2400.0,1200.0,5.5,8.0
芸豆,普通大棚,第一季,3600.0,2400.0,5.0,8.0
土豆,普通大棚,第一季,2400.0,2400.0,3.0,4.5
西红柿,普通大棚,第一季,3000.0,2400.0,5.0,7.5
茄子,普通大棚,第一季,8000.0,2400.0,5.0,6.0
